Transaction ID,Date,Month,Quarter,Year,Region,Country,City,Business Unit,Department,Product Category,Product Name,Customer Segment,Sales Channel,Revenue,Cost of Goods Sold (COGS),Operating Expense,Marketing Expense,Discount,Tax,Profit,Profit Margin,Budget,Actual Sales
TXN-10037,2023-01-04,January,Q1,2023,Latin America,Brazil,Sao Paulo,Financial Services,Sales,Electronics,Wireless Headset Pro,Mid-Market,Direct Sales,7136.56,4636.82,1492.55,366.17,862.76,93.73,547.29,7.67,6695.07,7136.56
TXN-10038,2023-01-04,January,Q1,2023,North America,USA,San Francisco,Digital Services,Marketing,Cloud Infrastructure,Object Storage Multi-Region,SMB,Reseller Network,35726.43,11254.17,6096.45,3097.61,500.14,1787.34,13490.86,37.76,31544.64,35726.43
TXN-10039,2023-01-05,January,Q1,2023,Europe,Germany,Frankfurt,Digital Services,Sales,Professional Consulting,24/7 Premium Support,Consumer,Partner Channel,13055.73,7128.81,1756.68,1218.86,1724.82,649.58,2301.8,17.63,13254.61,13055.73
TXN-10040,2023-01-05,January,Q1,2023,North America,Canada,Toronto,Consumer Goods,Operations,Cloud Infrastructure,Object Storage Multi-Region,SMB,Reseller Network,8771.17,3695.87,1864.89,766.23,171.29,282.93,2161.25,24.64,7762.51,8771.17
TXN-10041,2023-01-05,January,Q1,2023,Asia Pacific,Australia,Sydney,Consumer Goods,Operations,Software Services,SaaS ERP License,Enterprise,Online Store,38024.35,11046.69,7467.03,2494.41,3621.33,3231.54,13784.68,36.25,37938.66,38024.35
TXN-10042,2023-01-05,January,Q1,2023,North America,USA,New York,Financial Services,Engineering,Cloud Infrastructure,Dedicated Cloud Compute,Enterprise,Direct Sales,37139.75,13358.93,6720.84,1609.57,690.46,2216.45,13233.96,35.63,35686.53,37139.75
TXN-10043,2023-01-05,January,Q1,2023,North America,USA,Chicago,Financial Services,Operations,Hardware Systems,Storage Array V2,Enterprise,Direct Sales,83115.44,51748.59,12475.19,6824.1,9429.43,2984.81,9082.75,10.93,82674.14,83115.44
TXN-10044,2023-01-05,January,Q1,2023,Europe,Germany,Frankfurt,Consumer Goods,Operations,Cloud Infrastructure,Load Balancer Cluster,Enterprise,Reseller Network,55576.46,24919.24,11386.88,5550.26,2039.82,3164.67,10555.41,18.99,59885.12,55576.46
TXN-10045,2023-01-05,January,Q1,2023,North America,USA,New York,Consumer Goods,Operations,Electronics,Smart Hub Pro,SMB,Direct Sales,1490.14,937.59,191.7,121.28,126.42,31.66,207.91,13.95,1369.48,1490.14
TXN-10046,2023-01-05,January,Q1,2023,Europe,Netherlands,Amsterdam,Enterprise Solutions,Operations,Software Services,SaaS ERP License,Enterprise ,Online Store,8633.53,1462.01,1111.59,790.59,1197.4,985.5,4283.84,49.62,8289.73,8633.53
TXN-10047,2023-01-06,January,Q1,2023,North America,Canada,Toronto,Financial Services,Customer Support,Electronics,Wireless Headset Pro,Enterprise,Direct Sales,10782.11,7455.6,2173.26,870.2,1542.95,151.19,131.86,1.22,11852.94,10782.11
TXN-10048,2023-01-06,January,Q1,2023,Middle East & Africa,UAE,Dubai,Digital Services,Sales,Electronics,Wireless Headset Pro,SMB ,Online Store,7025.74,4603.09,1076.75,384.77,715.78,225.2,735.93,10.47,6811.38,7025.74
TXN-10049,2023-01-06,January,Q1,2023,Latin America,Brazil,Sao Paulo,Financial Services,Marketing,Software Services,SaaS ERP License,Mid-Market,Partner Channel,31542.28,5447.48,3545.2,2345.85,1899.71,2771.57,17432.18,55.27,35083.6,31542.28
TXN-10050,2023-01-06,January,Q1,2023,Asia Pacific,Japan,Tokyo,Digital Services,Operations,Professional Consulting,Advisory Subscription,Mid-Market,Partner Channel,25646.48,11820.03,2660.47,2514.49,3794.41,1506.7,7144.79,27.86,23003.89,25646.48
TXN-10051,2023-01-06,January,Q1,2023,Europe,Netherlands,Amsterdam,Digital Services,Engineering,Electronics,4K Display Monitor,Enterprise,Direct Sales,2957.41,2081.26,482.36,258.76,51.14,68.03,67.0,2.27,3185.35,2957.41
TXN-10052,2023-01-06,January,Q1,2023,North America,Canada,Toronto,Enterprise Solutions,Sales,Hardware Systems,Edge Compute Node,Enterprise,Reseller Network,78669.4,43993.44,14526.47,6336.4,9517.77,2209.41,11603.68,14.75,78860.82,78669.4
TXN-10053,2023-01-06,January,Q1,2023,Asia Pacific,Australia,Sydney,Financial Services,Engineering,Hardware Systems,Network Switch 48P,Mid-Market,Direct Sales,66775.89,39925.36,13703.86,4848.77,2386.53,2170.64,6127.26,9.18,67692.89,66775.89
TXN-10054,2023-01-06,January,Q1,2023,North America,USA,San Francisco,Financial Services,Customer Support,Software Services,CyberShield Security,Mid-Market,Partner Channel,8821.45,1847.24,1922.98,780.77,211.64,544.4,3726.06,42.24,8461.14,8821.45
TXN-10055,2023-01-06,January,Q1,2023,Asia Pacific,Australia,Sydney,Financial Services,Sales,Software Services,AI Analytics Platform,SMB,Online Store,9955.22,2336.15,2133.17,871.87,864.16,793.7,3820.33,38.38,10983.94,9955.22
TXN-10056,2023-01-07,January,Q1,2023,Europe,Netherlands,Amsterdam,Digital Services,Marketing,Hardware Systems,Storage Array V2,Enterprise,Online Store,41130.86,21669.27,8840.6,2643.02,5400.46,1050.79,6927.18,16.84,41603.41,41130.86
TXN-10057,2023-01-07,January,Q1,2023,North America,Canada,Toronto,Consumer Goods,Marketing,Hardware Systems,Server Rack X1,Enterprise,Direct Sales,15574.82,8597.37,2730.15,1152.09,1430.12,573.07,2522.14,16.19,14726.41,15574.82
TXN-10058,2023-01-07,January,Q1,2023,North America,USA,New York,Consumer Goods,Engineering,Hardware Systems,Storage Array V2,Enterprise,Direct Sales,77496.36,39442.72,11006.24,3651.66,336.88,2469.07,20926.67,27.0,76217.59,77496.36
TXN-10059,2023-01-07,January,Q1,2023,Asia Pacific,Australia,Sydney,Financial Services,Sales,Software Services,AI Analytics Platform,Enterprise,Direct Sales,33910.48,6447.29,6728.08,3382.11,389.73,2639.65,14713.35,43.39,36368.82,33910.48
TXN-10060,2023-01-07,January,Q1,2023,Asia Pacific,Singapore,Singapore,Financial Services,Engineering,Software Services,AI Analytics Platform,Enterprise,Direct Sales,25718.6,4731.36,4359.61,1921.74,798.19,2653.17,12052.72,46.86,26531.17,25718.6
TXN-10061,2023-01-07,January,Q1,2023,North America,USA,San Francisco,Financial Services,Sales,Electronics,4K Display Monitor,Enterprise,Direct Sales,12302.55,8053.7,1379.19,925.66,834.45,451.84,1492.16,12.13,11443.59,12302.55
TXN-10062,2023-01-07,January,Q1,2023,Europe,UK,London,Consumer Goods,Sales,Cloud Infrastructure,Dedicated Cloud Compute,Enterprise,Online Store,33346.9,10694.49,6029.35,2526.64,1472.92,1352.55,12743.87,38.22,29966.71,33346.9
TXN-10063,2023-01-07,January,Q1,2023,Europe,Germany,Frankfurt,Consumer Goods,Marketing,Hardware Systems,Storage Array V2,Enterprise,Partner Channel,55903.72,31744.43,5599.55,3734.14,2320.45,1678.44,13147.16,23.52,50203.67,55903.72
TXN-10064,2023-01-07,January,Q1,2023,North America,Canada,Toronto,Financial Services,Sales,Hardware Systems,Server Rack X1,Mid-Market,Online Store,48504.55,31320.63,8072.97,4404.18,3772.82,1279.04,3427.73,7.07,47775.62,48504.55
TXN-10065,2023-01-08,January,Q1,2023,Latin America,Brazil,Sao Paulo,Enterprise Solutions,Sales,Cloud Infrastructure,Dedicated Cloud Compute,Mid-Market,Online Store,20136.56,8884.03,3436.41,1181.44,1358.25,1255.02,5379.66,26.72,18501.23,20136.56
TXN-10066,2023-01-08,January,Q1,2023,North America,USA,San Francisco,Digital Services,Sales,Electronics,Smart Hub Pro,SMB,Direct Sales,1373.78,965.35,233.21,83.95,47.93,24.83,66.44,4.84,1376.75,1373.78
TXN-10067,2023-01-08,January,Q1,2023,Middle East & Africa,South Africa,Johannesburg,Financial Services,Sales,Software Services,AI Analytics Platform,Mid-Market,Partner Channel,9062.98,1805.82,988.16,402.41,266.23,805.73,5060.86,55.84,9682.4,9062.98
TXN-10068,2023-01-08,January,Q1,2023,Europe,Netherlands,Amsterdam,Financial Services,Sales,Software Services,SaaS ERP License,Enterprise,Online Store,44087.51,7349.26,5531.0,3014.95,6405.57,4905.19,23287.11,52.82,48301.17,44087.51
TXN-10069,2023-01-08,January,Q1,2023,north america,Canada,Toronto,Financial Services,Marketing,Professional Consulting,Implementation Services,Mid-Market,Direct Sales,31156.97,14849.63,3423.38,2399.19,42.58,2030.54,8454.23,27.13,32283.0,31156.97
TXN-10070,2023-01-08,January,Q1,2023,North America,USA,New York,Enterprise Solutions,Sales,Hardware Systems,Network Switch 48P,Mid-Market,Reseller Network,32460.0,22015.76,5710.6,1769.89,2126.67,729.2,2234.55,6.88,32043.04,32460.0
TXN-10071,2023-01-08,January,Q1,2023,North America,USA,San Francisco,Consumer Goods,Marketing,Hardware Systems,Network Switch 48P,Consumer,Direct Sales,79750.5,50026.27,11130.42,5059.77,8861.99,2605.87,10928.17,13.7,83035.77,79750.5
TXN-10072,2023-01-08,January,Q1,2023,Europe,France,Paris,Consumer Goods,Engineering,Electronics,UltraBook Enterprise,Consumer,Direct Sales,9450.81,6451.39,1329.52,593.33,1258.71,201.09,875.48,9.26,9733.73,9450.81
TXN-10073,2023-01-08,January,Q1,2023,Latin America,Mexico,Mexico City,Digital Services,Marketing,Cloud Infrastructure,Load Balancer Cluster,Mid-Market,Direct Sales,27911.65,12326.72,4765.65,1693.4,2619.51,1850.54,7275.34,26.07,26397.66,27911.65
TXN-10074,2023-01-08,January,Q1,2023,Europe,UK,London,Financial Services,Operations,Hardware Systems,Network Switch 48P,Mid-Market,Partner Channel,36341.47,20223.97,6617.97,1923.65,2287.63,938.72,6637.16,18.26,32052.93,36341.47
TXN-10075,2023-01-08,January,Q1,2023,Middle East & Africa,UAE,Dubai,Financial Services,Customer Support,Electronics,Wireless Headset Pro,Mid-Market,Direct Sales,4961.8,3216.8,913.34,393.36,36.51,75.15,363.15,7.32,4519.51,4961.8
TXN-10076,2023-01-08,January,Q1,2023,North America,USA,New York,Digital Services,Engineering,Electronics,4K Display Monitor,Mid-Market,Partner Channel,3960.22,2833.37,562.35,359.4,,93.97,111.13,2.81,3548.74,3960.22
TXN-10077,2023-01-09,January,Q1,2023,Asia Pacific,Singapore,Singapore,Financial Services,Customer Support,Electronics,Smart Hub Pro,Consumer,Reseller Network,4316.38,2775.43,926.31,301.29,254.82,78.87,234.48,5.43,4617.02,4316.38
TXN-10078,2023-01-09,January,Q1,2023,Europe,Germany,Frankfurt,Consumer Goods,Engineering,Software Services,Cloud Database Engine,Enterprise,Direct Sales,24895.25,4287.38,4913.96,1624.05,2856.74,2753.43,11316.43,45.46,26983.33,24895.25
TXN-10079,2023-01-09,January,Q1,2023,Middle East & Africa,UAE,Dubai,Financial Services,Sales,Cloud Infrastructure,Object Storage Multi-Region,SMB,Partner Channel,40495.65,12238.13,7684.72,1842.23,1577.82,2780.39,15950.18,39.39,40026.54,40495.65
TXN-10080,2023-01-09,January,Q1,2023,North America,USA,New York,Financial Services,Operations,Professional Consulting,Advisory Subscription,Mid-Market,Reseller Network,24230.67,12859.0,4829.12,1492.78,2181.21,625.64,4424.13,18.26,24437.27,24230.67
TXN-10081,2023-01-09,January,Q1,2023,North America,USA,New York,Enterprise Solutions,Engineering,Hardware Systems,Storage Array V2,Enterprise,Reseller Network,15378.29,7809.72,1938.75,1511.14,2258.85,819.1,3299.58,21.46,16781.18,15378.29
TXN-10082,2023-01-09,January,Q1,2023,North America,USA,Chicago,Financial Services,Marketing,Electronics,Wireless Headset Pro,Enterprise,Online Store,11977.45,7334.19,2603.27,791.29,270.3,258.26,990.44,8.27,12492.11,11977.45
TXN-10083,2023-01-09,January,Q1,2023,Latin America,Brazil,Sao Paulo,Financial Services,Sales,Software Services,AI Analytics Platform,Mid-Market,Reseller Network,6962.14,1970.14,1165.98,383.79,997.21,491.01,2951.22,42.39,6680.91,6962.14
TXN-10084,2023-01-09,January,Q1,2023,North America,USA,San Francisco,Enterprise Solutions,Marketing,Electronics,Wireless Headset Pro,Consumer,Direct Sales,2871.71,1582.41,462.18,286.88,299.36,91.68,448.56,15.62,3131.44,2871.71
TXN-10085,2023-01-09,January,Q1,2023,Asia Pacific,Australia,Sydney,Financial Services,Customer Support,Cloud Infrastructure,Load Balancer Cluster,Enterprise,Direct Sales,32366.15,11772.55,4358.64,1629.09,3700.57,2906.24,11699.63,36.15,34524.0,32366.15
TXN-10086,2023-01-09,January,Q1,2023,North America,USA,San Francisco,Consumer Goods,Sales,Electronics,Wireless Headset Pro,SMB,Online Store,4127.83,2412.01,838.37,,338.1,105.38,439.1,10.64,4059.29,4127.83
TXN-10087,2023-01-10,January,Q1,2023,North America,Canada,Toronto,Digital Services,Marketing,Software Services,AI Analytics Platform,Enterprise,Direct Sales,34553.1,6279.31,5086.64,1515.09,1172.75,3693.49,17978.57,52.03,37077.38,34553.1
TXN-10088,2023-01-10,January,Q1,2023,North America,USA,San Francisco,Consumer Goods,Operations,Professional Consulting,Advisory Subscription,Mid-Market,Partner Channel,29882.47,15568.98,3047.56,1530.24,2935.53,1324.6,8411.09,28.15,33342.74,29882.47
TXN-10089,2023-01-10,January,Q1,2023,Asia Pacific,Japan,Tokyo,Consumer Goods,Customer Support,Electronics,UltraBook Enterprise,Enterprise,Reseller Network,3376.1,2153.2,658.82,222.68,237.04,100.76,240.64,7.13,3315.58,3376.1
TXN-10090,2023-01-10,January,Q1,2023,Asia Pacific,Australia,Sydney,Enterprise Solutions,Engineering,Cloud Infrastructure,Load Balancer Cluster,Consumer,Partner Channel,58989.01,20565.85,7567.72,3530.61,8447.08,3496.15,23828.68,40.4,59912.24,58989.01
TXN-10091,2023-01-10,January,Q1,2023,Europe,Netherlands,Amsterdam,Enterprise Solutions,Customer Support,Hardware Systems,Storage Array V2,SMB,Direct Sales,76691.99,47532.56,13345.06,5947.77,3408.23,1921.67,7944.93,10.36,82200.75,76691.99
TXN-10092,2023-01-10,January,Q1,2023,North America,USA,New York,Financial Services,Operations,Cloud Infrastructure,Dedicated Cloud Compute,Mid-Market,Direct Sales,59569.14,20573.4,10496.01,4460.19,7015.09,3117.41,20922.13,35.12,63228.03,59569.14
TXN-10093,2023-01-10,January,Q1,2023,Europe,France,Paris,Enterprise Solutions,Sales,Professional Consulting,Implementation Services,SMB,Partner Channel,4904.84,2389.77,567.11,480.87,596.97,177.21,1289.88,26.3,4459.58,4904.84
TXN-10094,2023-01-10,January,Q1,2023,Europe,UK,London,Digital Services,Customer Support,Electronics,Wireless Headset Pro,Enterprise,Direct Sales,12266.5,8654.79,2340.34,1095.95,398.34,135.22,40.2,0.33,11408.42,12266.5
TXN-10095,2023-01-10,January,Q1,2023,Asia Pacific,India,Mumbai,Enterprise Solutions,Engineering,Electronics,4K Display Monitor,Mid-Market,Online Store,7075.51,3982.13,734.26,578.27,465.32,319.0,1461.85,20.66,7173.43,7075.51
TXN-10096,2023-01-10,January,Q1,2023,North America,Canada,Toronto,Digital Services,Operations,Software Services,AI Analytics Platform,Enterprise,Online Store,28953.36,8407.19,5596.11,1422.18,756.47,1346.25,12181.63,42.07,30608.44,28953.36
TXN-10097,2023-01-11,January,Q1,2023,Asia Pacific,Japan,Tokyo,Enterprise Solutions,Sales,Electronics,4K Display Monitor,SMB,Partner Channel,10071.8,6507.1,1880.97,656.47,145.91,141.43,885.83,8.8,10021.1,10071.8
TXN-10098,2023-01-11,January,Q1,2023,Europe,UK,London,Consumer Goods,Engineering,Software Services,CyberShield Security,Mid-Market,Direct Sales,8825.94,1542.14,1066.82,799.29,376.41,941.68,4476.01,50.71,8969.64,8825.94
TXN-10099,2023-01-11,January,Q1,2023,Middle East & Africa,UAE,Dubai,Consumer Goods,Sales,Electronics,Smart Hub Pro,Enterprise,Direct Sales,10768.85,7601.71,1586.82,546.96,460.53,198.34,835.02,7.75,10227.78,10768.85
TXN-10100,2023-01-11,January,Q1,2023,North America,USA,Chicago,Enterprise Solutions,Customer Support,Software Services,CyberShield Security,SMB,Direct Sales,29131.66,7292.67,5203.0,1944.57,1514.46,2721.52,11969.9,41.09,30938.61,29131.66
TXN-10101,2023-01-11,January,Q1,2023,North America,USA,New York,Digital Services,Customer Support,Hardware Systems,Storage Array V2,Mid-Market,Direct Sales,35269.52,22416.46,4772.73,3026.07,3943.84,845.06,4209.2,11.93,37206.43,35269.52
TXN-10102,2023-01-11,January,Q1,2023,Asia Pacific,Singapore,Singapore,Digital Services,Customer Support,Software Services,SaaS ERP License,Consumer,Online Store,11916.9,3007.99,1802.6,899.63,1312.17,934.44,5272.24,44.24,12814.91,11916.9
TXN-10103,2023-01-11,January,Q1,2023,Asia Pacific,Japan,Tokyo,Digital Services,Customer Support,Cloud Infrastructure,Object Storage Multi-Region,Enterprise,Partner Channel,13652.87,5636.03,1440.17,711.6,1621.89,1014.63,4850.44,35.53,13575.3,13652.87
TXN-10104,2023-01-11,January,Q1,2023,north america,Canada,Toronto,Consumer Goods,Marketing,Software Services,SaaS ERP License,Enterprise,Direct Sales,7892.42,2064.38,1463.46,343.37,663.28,386.12,3635.09,46.06,8657.19,7892.42
TXN-10105,2023-01-11,January,Q1,2023,Middle East & Africa,UAE,Dubai,Digital Services,Engineering,Cloud Infrastructure,Object Storage Multi-Region,SMB,Online Store,23915.08,7955.83,3330.51,1858.43,619.36,1336.93,9433.38,39.45,23731.76,23915.08
TXN-10106,2023-01-11,January,Q1,2023,North America,Canada,Toronto,Enterprise Solutions,Engineering,Electronics,4K Display Monitor,Mid-Market,Online Store,7933.68,4615.15,1645.17,435.66,108.66,259.37,978.33,12.33,7316.02,7933.68
TXN-10107,2023-01-11,January,Q1,2023,Europe,France,Paris,Enterprise Solutions,Sales,Electronics,4K Display Monitor,SMB,Partner Channel,10459.56,6943.81,1883.59,740.98,570.07,249.75,641.43,6.13,9954.1,10459.56
TXN-10108,2023-01-11,January,Q1,2023,Europe,Netherlands,Amsterdam,Financial Services,Operations,Software Services,Cloud Database Engine,Enterprise,Direct Sales,11463.5,3134.66,1953.27,880.19,1410.98,728.68,4766.7,41.58,10620.61,11463.5
TXN-10109,2023-01-12,January,Q1,2023,North America,USA,San Francisco,Enterprise Solutions,Customer Support,Electronics,UltraBook Enterprise,SMB,Direct Sales,4655.15,2989.81,911.86,196.33,687.11,94.55,462.6,9.94,4497.88,4655.15
