Transaction ID,Date,Month,Quarter,Year,Region,Country,City,Business Unit,Department,Product Category,Product Name,Customer Segment,Sales Channel,Revenue,Cost of Goods Sold (COGS),Operating Expense,Marketing Expense,Discount,Tax,Profit,Profit Margin,Budget,Actual Sales,Gross Profit,Operating Profit,Gross Margin,Budget Variance,Budget Utilization,Total Expense,Cost Ratio
TXN-10016,2023-01-02,January,Q1,2023,Latin America,Mexico,Mexico City,Digital Services,Operations,Cloud Infrastructure,Load Balancer Cluster,SMB,Direct Sales,50123.6,18655.57,7722.78,3704.73,3828.53,4143.67,15896.85,31.72,50703.48,50123.6,31468.03,20040.52,62.78,-579.88,98.86,34226.75,68.28
TXN-10017,2023-01-02,January,Q1,2023,Middle East & Africa,South Africa,Johannesburg,Digital Services,Sales,Cloud Infrastructure,Object Storage Multi-Region,SMB,Online Store,134453.9475,6866.73,3110.59,1279.76,985.59,1092.54,122104.33,90.81,17810.32,19582.94,127587.22,123196.87,94.89,1772.62,109.95,12349.62,9.19
TXN-10018,2023-01-02,January,Q1,2023,North America,USA,San Francisco,Financial Services,Engineering,Software Services,Cybershield Security,Mid-Market,Direct Sales,40520.35,10991.44,6583.07,3968.43,2226.56,1920.06,17057.35,42.1,44452.44,40520.35,29528.91,18977.41,72.87,-3932.09,91.15,23463.0,57.9
TXN-10019,2023-01-02,January,Q1,2023,North America,USA,New York,Consumer Goods,Operations,Software Services,Cybershield Security,Enterprise,Direct Sales,40781.55,10491.7,7207.99,3796.82,2533.76,1949.39,17335.65,42.51,43565.54,40781.55,30289.85,19285.04,74.27,-2783.99,93.61,23445.9,57.49
TXN-10020,2023-01-02,January,Q1,2023,Asia Pacific,Japan,Tokyo,Enterprise Solutions,Customer Support,Software Services,Cybershield Security,Enterprise,Reseller Network,36879.51,8380.76,4266.52,2109.72,3630.21,2871.62,19250.89,52.2,39857.66,36879.51,28498.75,22122.51,77.28,-2978.15,92.53,17628.62,47.8
TXN-10021,2023-01-02,January,Q1,2023,Middle East & Africa,Saudi Arabia,Riyadh,Digital Services,Customer Support,Cloud Infrastructure,Dedicated Cloud Compute,Enterprise,Direct Sales,9736.45,3484.26,2029.34,575.61,301.61,747.37,2899.87,29.78,8626.5,9736.45,6252.19,3647.24,64.21,1109.95,112.87,6836.58,70.22
TXN-10022,2023-01-02,January,Q1,2023,Asia Pacific,India,Mumbai,Consumer Goods,Marketing,Hardware Systems,Storage Array V2,Mid-Market,Direct Sales,14889.46,7578.53,1695.42,680.59,1698.64,721.91,4213.01,28.3,14328.04,14889.46,7310.93,4934.92,49.1,561.42,103.92,10676.45,71.7
TXN-10023,2023-01-03,January,Q1,2023,Europe,Germany,Frankfurt,Financial Services,Marketing,Electronics,Wireless Headset Pro,SMB,Direct Sales,6459.31,4226.53,1129.31,507.29,388.2,197.1,399.08,6.18,6957.13,6459.31,2232.78,596.18,34.57,-497.82,92.84,6060.23,93.82
TXN-10024,2023-01-03,January,Q1,2023,Europe,France,Paris,Consumer Goods,Marketing,Electronics,4K Display Monitor,Mid-Market,Partner Channel,5149.37,3052.88,750.53,412.34,734.67,210.25,723.37,14.05,5062.02,5149.37,2096.49,933.62,40.71,87.35,101.73,4426.0,85.95
TXN-10025,2023-01-03,January,Q1,2023,North America,USA,New York,Consumer Goods,Engineering,Software Services,Cybershield Security,Enterprise,Online Store,40672.2,11675.75,5120.35,1768.74,1863.26,3571.39,18535.97,45.57,45075.65,40672.2,28996.45,22107.36,71.29,-4403.45,90.23,22136.23,54.43
TXN-10026,2023-01-03,January,Q1,2023,North America,USA,San Francisco,Enterprise Solutions,Customer Support,Electronics,Smart Hub Pro,Consumer,Online Store,6941.5,4021.16,790.65,599.03,379.3,187.48,1343.18,19.35,7586.2,6941.5,2920.34,1530.66,42.07,-644.7,91.5,5598.32,80.65
TXN-10027,2023-01-03,January,Q1,2023,North America,USA,San Francisco,Financial Services,Customer Support,Professional Consulting,Advisory Subscription,Enterprise,Partner Channel,6139.8,2867.52,1154.78,330.67,263.09,352.51,1434.32,23.36,6707.29,6139.8,3272.28,1786.83,53.3,-567.49,91.54,4705.48,76.64
TXN-10028,2023-01-03,January,Q1,2023,North America,USA,New York,Digital Services,Engineering,Professional Consulting,24/7 Premium Support,Consumer,Online Store,17979.6,9846.89,2999.62,1670.11,897.46,606.79,2856.19,15.89,18386.99,17979.6,8132.71,3462.98,45.23,-407.39,97.78,15123.41,84.11
TXN-10029,2023-01-03,January,Q1,2023,North America,USA,New York,Consumer Goods,Marketing,Cloud Infrastructure,Dedicated Cloud Compute,Mid-Market,Online Store,27964.84,9516.69,4984.65,1419.85,2175.45,2111.18,9932.47,35.52,25711.76,27964.84,18448.15,12043.65,65.97,2253.08,108.76,18032.37,64.48
TXN-10030,2023-01-03,January,Q1,2023,Asia Pacific,India,Mumbai,Digital Services,Operations,Hardware Systems,Network Switch 48P,Consumer,Direct Sales,71660.44,43077.46,9440.31,3611.52,5338.82,2311.2,13219.95,18.45,75080.98,71660.44,28582.98,15531.15,39.89,-3420.54,95.44,58440.49,81.55
TXN-10031,2023-01-03,January,Q1,2023,Middle East & Africa,South Africa,Johannesburg,Financial Services,Customer Support,Hardware Systems,Server Rack X1,SMB,Reseller Network,44399.56,28342.17,7592.28,2878.88,6622.84,709.64,4876.59,10.98,40800.77,44399.56,16057.39,5586.23,36.17,3598.79,108.82,39522.97,89.02
TXN-10032,2023-01-03,January,Q1,2023,Latin America,Colombia,Bogota,Financial Services,Sales,Software Services,Saas Erp License,Mid-Market,Partner Channel,28324.01,8224.75,5781.42,1886.71,359.55,2497.4,9933.73,35.07,28441.52,28324.01,20099.26,12431.13,70.96,-117.51,99.59,18390.28,64.93
TXN-10033,2023-01-04,January,Q1,2023,North America,USA,Chicago,Enterprise Solutions,Engineering,Electronics,4K Display Monitor,Mid-Market,Partner Channel,10952.24,7686.45,2351.48,693.61,1311.8,161.33,59.37,0.54,10035.52,10952.24,3265.79,220.7,29.82,916.72,109.13,10892.87,99.46
TXN-10034,2023-01-04,January,Q1,2023,North America,USA,Chicago,Consumer Goods,Customer Support,Electronics,Smart Hub Pro,SMB,Partner Channel,5285.93,3411.93,982.03,519.33,528.49,149.03,223.61,4.23,5755.45,5285.93,1874.0,372.64,35.45,-469.52,91.84,5062.32,95.77
TXN-10035,2023-01-04,January,Q1,2023,Europe,Netherlands,Amsterdam,Consumer Goods,Operations,Software Services,Saas Erp License,Enterprise,Reseller Network,12315.75,2716.08,2520.34,714.35,880.81,660.21,5704.77,46.32,12005.62,12315.75,9599.67,6364.98,77.95,310.13,102.58,6610.98,53.68
TXN-10036,2023-01-04,January,Q1,2023,North America,USA,San Francisco,Financial Services,Customer Support,Professional Consulting,24/7 Premium Support,Mid-Market,Direct Sales,25894.62,13085.71,5594.12,1657.65,2938.18,890.35,4666.79,18.02,26258.01,25894.62,12808.91,5557.14,49.47,-363.39,98.62,21227.83,81.98
TXN-10037,2023-01-04,January,Q1,2023,Latin America,Brazil,Sao Paulo,Financial Services,Sales,Electronics,Wireless Headset Pro,Mid-Market,Direct Sales,7136.56,4636.82,1492.55,393.07,862.76,93.73,520.39,7.29,6695.07,7136.56,2499.74,614.12,35.03,441.49,106.59,6616.17,92.71
TXN-10038,2023-01-04,January,Q1,2023,North America,USA,San Francisco,Digital Services,Marketing,Cloud Infrastructure,Object Storage Multi-Region,SMB,Reseller Network,35726.43,11254.17,6096.45,3653.8,500.14,1787.34,12934.67,36.2,31544.64,35726.43,24472.26,14722.01,68.5,4181.79,113.26,22791.76,63.8
TXN-10039,2023-01-05,January,Q1,2023,Europe,Germany,Frankfurt,Digital Services,Sales,Professional Consulting,24/7 Premium Support,Consumer,Partner Channel,13055.73,7128.81,1756.68,1451.07,1724.82,649.58,2069.59,15.85,13254.61,13055.73,5926.92,2719.17,45.4,-198.88,98.5,10986.14,84.15
TXN-10040,2023-01-05,January,Q1,2023,North America,Canada,Toronto,Consumer Goods,Operations,Cloud Infrastructure,Object Storage Multi-Region,SMB,Reseller Network,8771.17,3695.87,1864.89,904.69,171.29,282.93,2022.79,23.06,7762.51,8771.17,5075.3,2305.72,57.86,1008.66,112.99,6748.38,76.94
TXN-10041,2023-01-05,January,Q1,2023,Asia Pacific,Australia,Sydney,Consumer Goods,Operations,Software Services,Saas Erp License,Enterprise,Online Store,38024.35,11046.69,7467.03,2818.89,3621.33,3231.54,13460.2,35.4,37938.66,38024.35,26977.66,16691.74,70.95,85.69,100.23,24564.15,64.6
TXN-10042,2023-01-05,January,Q1,2023,North America,USA,New York,Financial Services,Engineering,Cloud Infrastructure,Dedicated Cloud Compute,Enterprise,Direct Sales,37139.75,13358.93,6720.84,1650.9,690.46,2216.45,13192.63,35.52,35686.53,37139.75,23780.82,15409.08,64.03,1453.22,104.07,23947.12,64.48
TXN-10043,2023-01-05,January,Q1,2023,North America,USA,Chicago,Financial Services,Operations,Hardware Systems,Storage Array V2,Enterprise,Direct Sales,83115.44,51748.59,12475.19,7990.59,9429.43,2984.81,7916.26,9.52,82674.14,83115.44,31366.85,10901.07,37.74,441.3,100.53,75199.18,90.48
TXN-10044,2023-01-05,January,Q1,2023,Europe,Germany,Frankfurt,Consumer Goods,Operations,Cloud Infrastructure,Load Balancer Cluster,Enterprise,Reseller Network,55576.46,24919.24,11386.88,6659.32,2039.82,3164.67,9446.35,17.0,59885.12,55576.46,30657.22,12611.02,55.16,-4308.66,92.81,46130.11,83.0
TXN-10045,2023-01-05,January,Q1,2023,North America,USA,New York,Consumer Goods,Operations,Electronics,Smart Hub Pro,SMB,Direct Sales,1490.14,937.59,191.7,141.84,126.42,31.66,187.35,12.57,1369.48,1490.14,552.55,219.01,37.08,120.66,108.81,1302.79,87.43
TXN-10046,2023-01-05,January,Q1,2023,Europe,Netherlands,Amsterdam,Enterprise Solutions,Operations,Software Services,Saas Erp License,Enterprise,Online Store,8633.53,1462.01,1111.59,939.0,1197.4,985.5,4135.43,47.9,8289.73,8633.53,7171.52,5120.93,83.07,343.8,104.15,4498.1,52.1
TXN-10047,2023-01-06,January,Q1,2023,North America,Canada,Toronto,Financial Services,Customer Support,Electronics,Wireless Headset Pro,Enterprise,Direct Sales,10782.11,7455.6,2173.26,1016.51,1542.95,151.19,-14.45,-0.13,11852.94,10782.11,3326.51,136.74,30.85,-1070.83,90.97,10796.56,100.13
TXN-10048,2023-01-06,January,Q1,2023,Middle East & Africa,UAE,Dubai,Digital Services,Sales,Electronics,Wireless Headset Pro,SMB,Online Store,7025.74,4603.09,1076.75,419.35,715.78,225.2,701.35,9.98,6811.38,7025.74,2422.65,926.55,34.48,214.36,103.15,6324.39,90.02
TXN-10049,2023-01-06,January,Q1,2023,Latin America,Brazil,Sao Paulo,Financial Services,Marketing,Software Services,Saas Erp License,Mid-Market,Partner Channel,31542.28,5447.48,3545.2,2707.23,1899.71,2771.57,17070.8,54.12,35083.6,31542.28,26094.8,19842.37,82.73,-3541.32,89.91,14471.48,45.88
TXN-10050,2023-01-06,January,Q1,2023,Asia Pacific,Japan,Tokyo,Digital Services,Operations,Professional Consulting,Advisory Subscription,Mid-Market,Partner Channel,25646.48,11820.03,2660.47,3010.69,3794.41,1506.7,6648.59,25.92,23003.89,25646.48,13826.45,8155.29,53.91,2642.59,111.49,18997.89,74.08
TXN-10051,2023-01-06,January,Q1,2023,Europe,Netherlands,Amsterdam,Digital Services,Engineering,Electronics,4K Display Monitor,Enterprise,Direct Sales,2957.41,2081.26,482.36,305.58,51.14,68.03,20.18,0.68,3185.35,2957.41,876.15,88.21,29.63,-227.94,92.84,2937.23,99.32
TXN-10052,2023-01-06,January,Q1,2023,North America,Canada,Toronto,Enterprise Solutions,Sales,Hardware Systems,Edge Compute Node,Enterprise,Reseller Network,78669.4,43993.44,14526.47,7399.61,9517.77,2209.41,10540.47,13.4,78860.82,78669.4,34675.96,12749.88,44.08,-191.42,99.76,68128.93,86.6
TXN-10053,2023-01-06,January,Q1,2023,Asia Pacific,Australia,Sydney,Financial Services,Engineering,Hardware Systems,Network Switch 48P,Mid-Market,Direct Sales,66775.89,39925.36,13703.86,5574.69,2386.53,2170.64,5401.34,8.09,67692.89,66775.89,26850.53,7571.98,40.21,-917.0,98.65,61374.55,91.91
TXN-10054,2023-01-06,January,Q1,2023,North America,USA,San Francisco,Financial Services,Customer Support,Software Services,Cybershield Security,Mid-Market,Partner Channel,8821.45,1847.24,1922.98,923.4,211.64,544.4,3583.43,40.62,8461.14,8821.45,6974.21,4127.83,79.06,360.31,104.26,5238.02,59.38
TXN-10055,2023-01-06,January,Q1,2023,Asia Pacific,Australia,Sydney,Financial Services,Sales,Software Services,Ai Analytics Platform,SMB,Online Store,9955.22,2336.15,2133.17,1029.76,864.16,793.7,3662.44,36.79,10983.94,9955.22,7619.07,4456.14,76.53,-1028.72,90.63,6292.78,63.21
TXN-10056,2023-01-07,January,Q1,2023,Europe,Netherlands,Amsterdam,Digital Services,Marketing,Hardware Systems,Storage Array V2,Enterprise,Online Store,41130.86,21669.27,8840.6,2975.61,5400.46,1050.79,6594.59,16.03,41603.41,41130.86,19461.59,7645.38,47.32,-472.55,98.86,34536.27,83.97
TXN-10057,2023-01-07,January,Q1,2023,North America,Canada,Toronto,Consumer Goods,Marketing,Hardware Systems,Server Rack X1,Enterprise,Direct Sales,15574.82,8597.37,2730.15,1328.45,1430.12,573.07,2345.78,15.06,14726.41,15574.82,6977.45,2918.85,44.8,848.41,105.76,13229.04,84.94
TXN-10058,2023-01-07,January,Q1,2023,North America,USA,New York,Consumer Goods,Engineering,Hardware Systems,Storage Array V2,Enterprise,Direct Sales,77496.36,39442.72,11006.24,3835.59,336.88,2469.07,20742.74,26.77,76217.59,77496.36,38053.64,23211.81,49.1,1278.77,101.68,56753.62,73.23
TXN-10059,2023-01-07,January,Q1,2023,Asia Pacific,Australia,Sydney,Financial Services,Sales,Software Services,Ai Analytics Platform,Enterprise,Direct Sales,33910.48,6447.29,6728.08,4057.34,389.73,2639.65,14038.12,41.4,36368.82,33910.48,27463.19,16677.77,80.99,-2458.34,93.24,19872.36,58.6
TXN-10060,2023-01-07,January,Q1,2023,Asia Pacific,Singapore,Singapore,Financial Services,Engineering,Software Services,Ai Analytics Platform,Enterprise,Direct Sales,25718.6,4731.36,4359.61,2219.4,798.19,2653.17,11755.06,45.71,26531.17,25718.6,20987.24,14408.23,81.6,-812.57,96.94,13963.54,54.29
TXN-10061,2023-01-07,January,Q1,2023,North America,USA,San Francisco,Financial Services,Sales,Electronics,4K Display Monitor,Enterprise,Direct Sales,12302.55,8053.7,1379.19,1070.18,834.45,451.84,1347.64,10.95,11443.59,12302.55,4248.85,1799.48,34.54,858.96,107.51,10954.91,89.05
TXN-10062,2023-01-07,January,Q1,2023,Europe,UK,London,Consumer Goods,Sales,Cloud Infrastructure,Dedicated Cloud Compute,Enterprise,Online Store,33346.9,10694.49,6029.35,2924.22,1472.92,1352.55,12346.29,37.02,29966.71,33346.9,22652.41,13698.84,67.93,3380.19,111.28,21000.61,62.98
TXN-10063,2023-01-07,January,Q1,2023,Europe,Germany,Frankfurt,Consumer Goods,Marketing,Hardware Systems,Storage Array V2,Enterprise,Partner Channel,55903.72,31744.43,5599.55,4233.47,2320.45,1678.44,12647.83,22.62,50203.67,55903.72,24159.29,14326.27,43.22,5700.05,111.35,43255.89,77.38
TXN-10064,2023-01-07,January,Q1,2023,North America,Canada,Toronto,Financial Services,Sales,Hardware Systems,Server Rack X1,Mid-Market,Online Store,48504.55,31320.63,8072.97,5225.51,3772.82,1279.04,2606.4,5.37,47775.62,48504.55,17183.92,3885.44,35.43,728.93,101.53,45898.15,94.63
TXN-10065,2023-01-08,January,Q1,2023,Latin America,Brazil,Sao Paulo,Enterprise Solutions,Sales,Cloud Infrastructure,Dedicated Cloud Compute,Mid-Market,Online Store,20136.56,8884.03,3436.41,1306.77,1358.25,1255.02,5254.33,26.09,18501.23,20136.56,11252.53,6509.35,55.88,1635.33,108.84,14882.23,73.91
TXN-10066,2023-01-08,January,Q1,2023,North America,USA,San Francisco,Digital Services,Sales,Electronics,Smart Hub Pro,SMB,Direct Sales,1373.78,965.35,233.21,93.62,47.93,24.83,56.77,4.13,1376.75,1373.78,408.43,81.6,29.73,-2.97,99.78,1317.01,95.87
TXN-10067,2023-01-08,January,Q1,2023,Middle East & Africa,South Africa,Johannesburg,Financial Services,Sales,Software Services,Ai Analytics Platform,Mid-Market,Partner Channel,9062.98,1805.82,988.16,415.71,266.23,805.73,5047.56,55.69,9682.4,9062.98,7257.16,5853.29,80.07,-619.42,93.6,4015.42,44.31
TXN-10068,2023-01-08,January,Q1,2023,Europe,Netherlands,Amsterdam,Financial Services,Sales,Software Services,Saas Erp License,Enterprise,Online Store,44087.51,7349.26,5531.0,3432.11,6405.57,4905.19,22869.95,51.87,48301.17,44087.51,36738.25,27775.14,83.33,-4213.66,91.28,21217.56,48.13
TXN-10069,2023-01-08,January,Q1,2023,North America,Canada,Toronto,Financial Services,Marketing,Professional Consulting,Implementation Services,Mid-Market,Direct Sales,31156.97,14849.63,3423.38,2783.5,42.58,2030.54,8069.92,25.9,32283.0,31156.97,16307.34,10100.46,52.34,-1126.03,96.51,23087.05,74.1
TXN-10070,2023-01-08,January,Q1,2023,North America,USA,New York,Enterprise Solutions,Sales,Hardware Systems,Network Switch 48P,Mid-Market,Reseller Network,32460.0,22015.76,5710.6,1927.06,2126.67,729.2,2077.38,6.4,32043.04,32460.0,10444.24,2806.58,32.18,416.96,101.3,30382.62,93.6
TXN-10071,2023-01-08,January,Q1,2023,North America,USA,San Francisco,Consumer Goods,Marketing,Hardware Systems,Network Switch 48P,Consumer,Direct Sales,79750.5,50026.27,11130.42,5683.02,8861.99,2605.87,10304.92,12.92,83035.77,79750.5,29724.23,12910.79,37.27,-3285.27,96.04,69445.58,87.08
TXN-10072,2023-01-08,January,Q1,2023,Europe,France,Paris,Consumer Goods,Engineering,Electronics,Ultrabook Enterprise,Consumer,Direct Sales,9450.81,6451.39,1329.52,665.09,1258.71,201.09,803.72,8.5,9733.73,9450.81,2999.42,1004.81,31.74,-282.92,97.09,8647.09,91.5
TXN-10073,2023-01-08,January,Q1,2023,Latin America,Mexico,Mexico City,Digital Services,Marketing,Cloud Infrastructure,Load Balancer Cluster,Mid-Market,Direct Sales,27911.65,12326.72,4765.65,1885.72,2619.51,1850.54,7083.02,25.38,26397.66,27911.65,15584.93,8933.56,55.84,1513.99,105.74,20828.63,74.62
TXN-10074,2023-01-08,January,Q1,2023,Europe,UK,London,Financial Services,Operations,Hardware Systems,Network Switch 48P,Mid-Market,Partner Channel,36341.47,20223.97,6617.97,2080.31,2287.63,938.72,6480.5,17.83,32052.93,36341.47,16117.5,7419.22,44.35,4288.54,113.38,29860.97,82.17
TXN-10075,2023-01-08,January,Q1,2023,Middle East & Africa,UAE,Dubai,Financial Services,Customer Support,Electronics,Wireless Headset Pro,Mid-Market,Direct Sales,4961.8,3216.8,913.34,458.32,36.51,75.15,298.19,6.01,4519.51,4961.8,1745.0,373.34,35.17,442.29,109.79,4663.61,93.99
TXN-10076,2023-01-08,January,Q1,2023,North America,USA,New York,Digital Services,Engineering,Electronics,4K Display Monitor,Mid-Market,Partner Channel,3960.22,2833.37,562.35,426.39,0.0,93.97,44.14,1.11,3548.74,3960.22,1126.85,138.11,28.45,411.48,111.6,3916.08,98.89
TXN-10077,2023-01-09,January,Q1,2023,Asia Pacific,Singapore,Singapore,Financial Services,Customer Support,Electronics,Smart Hub Pro,Consumer,Reseller Network,4316.38,2775.43,926.31,344.17,254.82,78.87,191.6,4.44,4617.02,4316.38,1540.95,270.47,35.7,-300.64,93.49,4124.78,95.56
TXN-10078,2023-01-09,January,Q1,2023,Europe,Germany,Frankfurt,Consumer Goods,Engineering,Software Services,Cloud Database Engine,Enterprise,Direct Sales,24895.25,4287.38,4913.96,1833.47,2856.74,2753.43,11107.01,44.61,26983.33,24895.25,20607.87,13860.44,82.78,-2088.08,92.26,13788.24,55.39
TXN-10079,2023-01-09,January,Q1,2023,Middle East & Africa,UAE,Dubai,Financial Services,Sales,Cloud Infrastructure,Object Storage Multi-Region,SMB,Partner Channel,40495.65,12238.13,7684.72,1916.37,1577.82,2780.39,15876.04,39.2,40026.54,40495.65,28257.52,18656.43,69.78,469.11,101.17,24619.61,60.8
TXN-10080,2023-01-09,January,Q1,2023,North America,USA,New York,Financial Services,Operations,Professional Consulting,Advisory Subscription,Mid-Market,Reseller Network,24230.67,12859.0,4829.12,1667.3,2181.21,625.64,4249.61,17.54,24437.27,24230.67,11371.67,4875.25,46.93,-206.6,99.15,19981.06,82.46
TXN-10081,2023-01-09,January,Q1,2023,North America,USA,New York,Enterprise Solutions,Engineering,Hardware Systems,Storage Array V2,Enterprise,Reseller Network,15378.29,7809.72,1938.75,1809.81,2258.85,819.1,3000.91,19.51,16781.18,15378.29,7568.57,3820.01,49.22,-1402.89,91.64,12377.38,80.49
TXN-10082,2023-01-09,January,Q1,2023,North America,USA,Chicago,Financial Services,Marketing,Electronics,Wireless Headset Pro,Enterprise,Online Store,11977.45,7334.19,2603.27,895.36,270.3,258.26,886.37,7.4,12492.11,11977.45,4643.26,1144.63,38.77,-514.66,95.88,11091.08,92.6
TXN-10083,2023-01-09,January,Q1,2023,Latin America,Brazil,Sao Paulo,Financial Services,Sales,Software Services,Ai Analytics Platform,Mid-Market,Reseller Network,6962.14,1970.14,1165.98,418.9,997.21,491.01,2916.11,41.89,6680.91,6962.14,4992.0,3407.12,71.7,281.23,104.21,4046.03,58.11
TXN-10084,2023-01-09,January,Q1,2023,North America,USA,San Francisco,Enterprise Solutions,Marketing,Electronics,Wireless Headset Pro,Consumer,Direct Sales,2871.71,1582.41,462.18,344.22,299.36,91.68,391.22,13.62,3131.44,2871.71,1289.3,482.9,44.9,-259.73,91.71,2480.49,86.38
TXN-10085,2023-01-09,January,Q1,2023,Asia Pacific,Australia,Sydney,Financial Services,Customer Support,Cloud Infrastructure,Load Balancer Cluster,Enterprise,Direct Sales,32366.15,11772.55,4358.64,1740.57,3700.57,2906.24,11588.15,35.8,34524.0,32366.15,20593.6,14494.39,63.63,-2157.85,93.75,20778.0,64.2
TXN-10086,2023-01-09,January,Q1,2023,North America,USA,San Francisco,Consumer Goods,Sales,Electronics,Wireless Headset Pro,SMB,Online Store,4127.83,2412.01,838.37,693.61,338.1,105.38,78.46,1.9,4059.29,4127.83,1715.82,183.84,41.57,68.54,101.69,4049.37,98.1
